Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap,EventName,SessionName,SessionDate
2022-09-11 12:09:13,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,1,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 12:20:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 12:30:01,Other,PIT EXIT CLOSED,,,,,,1,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 12:45:16,Other,RISK OF RAIN FOR F1 RACE IS 0%,,,,,,1,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 12:57:05,Drs,DRS DISABLED,DISABLED,,,,,1,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:03:28,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:06:39,Drs,DRS ENABLED,ENABLED,,,,,3,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:18:41,Other,LAP 1 TURN 1 INCIDENT INVOLVING CAR 20 (MAG) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,11,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:19:19,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,12,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:19:20,Other,DRS DISABLED IN ZONE 1,,,,,,12,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:19:29,Other,DRS ENABLED IN ZONE 1,,,,,,12,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:19:29,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,12,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:19:30,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,12,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:19:31,Other,DRS DISABLED IN ZONE 1,,,,,,12,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:19:51,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,12,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:20:15,Other,CAR 45 (DEV) TIME 1:27.798 DELETED - TRACK LIMITS AT TURN 7 LAP 11 15:18:58,,,,,,12,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:20:59,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,12,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:21:01,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,12,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:21:15,Flag,TRACK CLEAR,,CLEAR,Track,,,13,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:21:24,Drs,DRS ENABLED,ENABLED,,,,,13,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:21:58,Other,FIA STEWARDS: LAP 1 TURN 1 INCIDENT INVOLVING CAR 20 (MAG) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,13,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:23:18,Other,CAR 4 (NOR) TIME 1:28.568 DELETED - TRACK LIMITS AT TURN 2 LAP 13 15:21:42,,,,,,14,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:24:44,Other,CAR 10 (GAS) TIME 1:28.309 DELETED - TRACK LIMITS AT TURN 2 LAP 14 15:23:09,,,,,,15,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:25:29,Other,CAR 1 (VER) TIME 1:25.794 DELETED - TRACK LIMITS AT TURN 7 LAP 15 15:24:46,,,,,,16,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:27:19,Other,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 20 (MAG) - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,17,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:27:54,Other,CAR 45 (DEV) TIME 1:27.554 DELETED - TRACK LIMITS AT TURN 10 LAP 16 15:26:58,,,,,,17,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:28:08,Other,CAR 47 (MSC) TIME 1:27.322 DELETED - TRACK LIMITS AT TURN 7 LAP 16 15:26:53,,,,,,17,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:29:05,Other,CAR 20 (MAG) TIME 1:28.144 DELETED - TRACK LIMITS AT TURN 7 LAP 17 15:28:21,,,,,,18,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:30:31,Other,CAR 45 (DEV) TIME 1:27.836 DELETED - TRACK LIMITS AT TURN 7 LAP 18 15:29:36,,,,,,19,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:30:39,Flag,BLACK AND WHITE FLAG FOR CAR 45 (DEV) - TRACK LIMITS,,BLACK AND WHITE,Driver,,45,19,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:30:47,Other,CAR 20 (MAG) TIME 1:28.771 DELETED - TRACK LIMITS AT TURN 10 LAP 18 15:30:08,,,,,,19,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:34:46,Other,CAR 14 (ALO) TIME 1:27.668 DELETED - TRACK LIMITS AT TURN 5 LAP 21 15:33:43,,,,,,22,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:36:43,Other,CAR 18 (STR) TIME 1:27.815 DELETED - TRACK LIMITS AT TURN 7 LAP 22 15:35:59,,,,,,23,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:39:25,Other,CAR 11 (PER) TIME 1:26.742 DELETED - TRACK LIMITS AT TURN 7 LAP 24 15:38:34,,,,,,25,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:42:52,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:42:52,,BLUE,Driver,,20,28,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:48:09,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:48:08,,BLUE,Driver,,20,31,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:56:18,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:56:17,,BLUE,Driver,,18,37,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:57:30,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:57:29,,BLUE,Driver,,47,38,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:59:20,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:59:19,,BLUE,Driver,,6,39,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:00:23,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:00:23,,BLUE,Driver,,20,40,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:01:01,Other,CAR 55 (SAI) TIME 1:24.420 DELETED - TRACK LIMITS AT TURN 7 LAP 39 16:00:00,,,,,,40,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:02:04,Flag,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:02:04,,BLUE,Driver,,22,41,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:05:32,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:05:32,,BLUE,Driver,,31,43,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:06:09,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:06:08,,BLUE,Driver,,20,44,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:06:42,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:06:41,,BLUE,Driver,,24,44,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:06:55,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:06:54,,BLUE,Driver,,24,44,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:07:11,Flag,WAVED BLUE FLAG FOR CAR 45 (DEV) TIMED AT 16:07:10,,BLUE,Driver,,45,45,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:07:11,Other,CAR 3 (RIC) TIME 1:26.751 DELETED - TRACK LIMITS AT TURN 7 LAP 43 16:06:17,,,,,,45,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:08:02,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 16:08:01,,BLUE,Driver,,6,45,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:08:11,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:08:11,,BLUE,Driver,,10,45,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:09:32,Flag,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:09:31,,BLUE,Driver,,3,46,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:10:42,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,47,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:10:43,Other,DRS DISABLED IN ZONE 1,,,,,,47,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:10:55,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,47,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:11:29,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:11:29,,BLUE,Driver,,20,48,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:11:44,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,48,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:20:12,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,52,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:20:15,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,52,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:22:04,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,53,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:23:55,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,53,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 14:27:45,Other,TURN 3 INCIDENT INVOLVING CARS 45 (DEV) AND 24 (ZHO) NOTED - DRIVING ERRATICALLY,,,,,,53,Italian Grand Prix,Race,2022-09-11 13:00:00
